Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Weather Conditions,Roadwork and Construction Activity
2022-01-01,Indiranagar,100 Feet Road,50590,50.230299,1.5,100,100,0,Clear,No
2022-01-01,Indiranagar,CMH Road,30825,29.377125,1.5,100,100,1,Clear,No
2022-01-01,Whitefield,Marathahalli Bridge,7399,54.474398,1.0390688,28.347994,36.396525,0,Clear,No
2022-01-01,Koramangala,Sony World Junction,60874,43.81761,1.5,100,100,1,Clear,No
2022-01-01,Koramangala,Sarjapur Road,57292,41.116763,1.5,100,100,3,Clear,No
2022-01-01,M.G. Road,Trinity Circle,47848,34.241963,1.5,100,100,3,Overcast,No
2022-01-01,M.G. Road,Anil Kumble Circle,36574,29.98243,1.5,100,100,3,Clear,No
2022-01-01,Jayanagar,Jayanagar 4th Block,25379,38.455179,1.5,79.038823,100,2,Clear,No
2022-01-01,Jayanagar,South End Circle,25022,35.039373,1.5,78.979596,100,1,Clear,No
2022-01-01,Hebbal,Hebbal Flyover,31760,56.904556,1.5,97.672462,100,1,Clear,No
2022-01-01,Hebbal,Ballari Road,38446,26.144876,1.5,100,100,3,Overcast,No
2022-01-01,Yeshwanthpur,Yeshwanthpur Circle,15043,47.969847,1.3548346,55.740844,76.635316,0,Clear,No
2022-01-02,Indiranagar,100 Feet Road,22050,52.870846,1.1301599,78.429828,100,3,Fog,No
2022-01-02,Indiranagar,CMH Road,37877,26.428424,1.5,100,100,1,Overcast,No
2022-01-02,Koramangala,Sarjapur Road,29106,43.563988,1.5,90.409855,100,3,Fog,No
2022-01-02,M.G. Road,Trinity Circle,53217,37.572075,1.5,100,100,5,Clear,No
2022-01-02,M.G. Road,Anil Kumble Circle,37584,45.889506,1.5,100,100,2,Fog,No
2022-01-02,Jayanagar,Jayanagar 4th Block,16676,53.524333,1.1755886,47.155794,78.633507,2,Fog,No
2022-01-02,Jayanagar,South End Circle,37509,51.51351,1.5,100,100,1,Overcast,No
2022-01-02,Hebbal,Hebbal Flyover,6758,34.756124,1.0692807,21.2037,32.775047,1,Rain,No
2022-01-02,Hebbal,Ballari Road,30209,31.146864,1.5,100,100,2,Clear,Yes
2022-01-02,Yeshwanthpur,Yeshwanthpur Circle,20375,40.069991,1.3379501,58.382105,100,0,Overcast,No
2022-01-02,Yeshwanthpur,Tumkur Road,15636,32.794299,1.3105652,48.936071,82.487573,1,Overcast,No
2022-01-03,Indiranagar,100 Feet Road,23457,38.869053,1.3800248,87.202143,100,2,Clear,No
2022-01-03,Indiranagar,CMH Road,38925,33.529426,1.5,100,100,1,Overcast,No
2022-01-03,Whitefield,Marathahalli Bridge,9154,40.226183,1.3788994,40.233355,48.303782,0,Clear,No
2022-01-03,Whitefield,ITPL Main Road,24968,36.727691,1.298418,84.894042,100,1,Windy,No
2022-01-03,Koramangala,Sony World Junction,51459,27.326524,1.5,100,100,0,Clear,No
2022-01-03,Koramangala,Sarjapur Road,28481,36.503938,1.5,100,100,2,Overcast,No
2022-01-03,Jayanagar,Jayanagar 4th Block,10179,40.308243,1.3949105,26.938338,51.836307,0,Clear,Yes
2022-01-04,Indiranagar,100 Feet Road,46199,41.228499,1.5,100,100,2,Clear,No
2022-01-04,Indiranagar,CMH Road,56242,52.553408,1.5,100,100,0,Clear,Yes
2022-01-04,Whitefield,Marathahalli Bridge,20450,24.607678,1.3616635,65.131776,100,1,Clear,No
2022-01-04,Whitefield,ITPL Main Road,13391,51.696725,1.0303453,37.214261,63.235458,0,Clear,No
2022-01-04,Koramangala,Sony World Junction,28369,29.409745,1.5,86.337384,100,1,Overcast,No
2022-01-04,Koramangala,Sarjapur Road,31228,42.575077,1.5,97.783754,100,2,Fog,No
2022-01-04,M.G. Road,Trinity Circle,34180,37.034636,1.5,100,100,0,Fog,No
2022-01-04,M.G. Road,Anil Kumble Circle,43569,40.3891,1.5,100,100,1,Clear,No
2022-01-04,Jayanagar,Jayanagar 4th Block,16342,39.548308,1.3587062,46.078008,81.955114,0,Clear,No
2022-01-04,Yeshwanthpur,Yeshwanthpur Circle,19306,34.979533,1.1701746,64.505541,93.954097,0,Clear,Yes
2022-01-04,Yeshwanthpur,Tumkur Road,16012,39.231081,1.1018563,57.003388,82.662279,0,Windy,No
2022-01-05,Indiranagar,100 Feet Road,49952,50.801341,1.5,100,100,2,Overcast,No
2022-01-05,Indiranagar,CMH Road,33970,20,1.5,100,100,1,Clear,No
2022-01-05,Whitefield,ITPL Main Road,17018,57.473271,1.2133844,64.604518,87.975972,0,Clear,No
2022-01-05,Koramangala,Sony World Junction,58920,25.212363,1.5,100,100,2,Clear,No
2022-01-05,Koramangala,Sarjapur Road,46963,34.444153,1.5,100,100,2,Clear,No
2022-01-05,Jayanagar,Jayanagar 4th Block,18111,55.941915,1.2365102,58.350054,86.102616,0,Overcast,No
2022-01-05,Jayanagar,South End Circle,22491,42.392648,1.1809758,67.78714,100,0,Clear,No
2022-01-05,Hebbal,Hebbal Flyover,38924,23.934741,1.5,100,100,2,Clear,No
2022-01-05,Yeshwanthpur,Yeshwanthpur Circle,25165,20,1.5,82.698588,100,1,Rain,No
2022-01-05,Yeshwanthpur,Tumkur Road,15871,57.715551,1.0108384,47.342777,76.665748,1,Clear,No
2022-01-06,Indiranagar,100 Feet Road,46556,46.593298,1.5,100,100,2,Clear,No
2022-01-06,Indiranagar,CMH Road,22591,30.915387,1.236118,70.664606,100,2,Fog,No
2022-01-06,Whitefield,Marathahalli Bridge,20310,51.722573,1.1031551,60.487121,100,1,Clear,No
2022-01-06,Koramangala,Sony World Junction,61024,44.82691,1.5,100,100,2,Clear,No
2022-01-06,Koramangala,Sarjapur Road,28153,21.483154,1.5,98.224251,100,4,Clear,No
2022-01-06,M.G. Road,Trinity Circle,12965,62.708006,1.275361,41.913213,62.28902,2,Clear,No
2022-01-06,M.G. Road,Anil Kumble Circle,57145,45.622099,1.5,100,100,1,Overcast,Yes
2022-01-06,Jayanagar,South End Circle,40516,34.195842,1.5,100,100,1,Clear,No
2022-01-06,Hebbal,Hebbal Flyover,22893,46.965548,1.127501,78.827828,100,2,Fog,No
2022-01-06,Hebbal,Ballari Road,28470,20,1.5,97.450109,100,3,Clear,No
2022-01-06,Yeshwanthpur,Yeshwanthpur Circle,6965,47.342147,1.1537307,26.809612,32.007539,2,Clear,No
2022-01-06,Yeshwanthpur,Tumkur Road,32668,51.211086,1.5,100,100,1,Rain,No
2022-01-07,Indiranagar,100 Feet Road,24405,29.842559,1.237176,82.951724,100,2,Clear,Yes
2022-01-07,Indiranagar,CMH Road,25768,25.493162,1.5,85.810848,100,2,Clear,No
2022-01-07,Whitefield,ITPL Main Road,34362,46.087036,1.5,100,100,5,Fog,No
2022-01-07,Electronic City,Silk Board Junction,12382,45.464365,1.2527254,36.469405,63.250057,0,Clear,No
2022-01-07,M.G. Road,Anil Kumble Circle,50214,36.9409,1.5,100,100,0,Fog,Yes
2022-01-07,Jayanagar,Jayanagar 4th Block,21131,44.342497,1.2733182,69.354721,100,1,Clear,No
2022-01-07,Hebbal,Hebbal Flyover,39110,23.530414,1.5,100,100,2,Clear,No
2022-01-07,Hebbal,Ballari Road,42022,34.710751,1.5,100,100,5,Clear,No
2022-01-08,Indiranagar,100 Feet Road,36384,28.189483,1.5,100,100,2,Rain,No
2022-01-08,Indiranagar,CMH Road,11033,44.522886,1.096818,46.509919,51.589955,0,Clear,Yes
2022-01-08,Whitefield,Marathahalli Bridge,16390,34.373672,1.275786,60.645067,78.951502,0,Fog,No
2022-01-08,Koramangala,Sarjapur Road,65269,36.975996,1.5,100,100,2,Windy,No
2022-01-08,Electronic City,Hosur Road,17926,66.422704,1.2221454,64.137369,86.914547,3,Overcast,No
2022-01-08,M.G. Road,Trinity Circle,22876,65.017371,1.2901031,75.986712,100,2,Fog,No
2022-01-08,M.G. Road,Anil Kumble Circle,49798,28.283766,1.5,100,100,2,Clear,No
2022-01-08,Jayanagar,South End Circle,30323,27.919211,1.5,93.69414,100,1,Clear,No
2022-01-08,Yeshwanthpur,Yeshwanthpur Circle,13356,65.76748,1.3376682,50.633403,67.633544,1,Clear,No
2022-01-09,Indiranagar,CMH Road,38748,38.464885,1.5,100,100,2,Windy,Yes
2022-01-09,Whitefield,ITPL Main Road,34188,25.828402,1.5,100,100,4,Rain,No
2022-01-09,Koramangala,Sony World Junction,32010,32.4762,1.5,100,100,3,Overcast,No
2022-01-09,Koramangala,Sarjapur Road,13903,30.599491,1.1584691,50.252677,68.400581,0,Rain,No
2022-01-09,M.G. Road,Anil Kumble Circle,34831,20,1.5,100,100,5,Overcast,Yes
2022-01-09,Jayanagar,South End Circle,14614,44.016604,1.1139492,44.859133,76.100259,0,Clear,No
2022-01-09,Hebbal,Ballari Road,28195,38.197819,1.5,95.329578,100,4,Clear,No
2022-01-10,Indiranagar,100 Feet Road,43024,28.070948,1.5,100,100,3,Overcast,No
2022-01-10,Indiranagar,CMH Road,13224,61.233966,1.218679,38.718942,65.02906,0,Clear,No
2022-01-10,Koramangala,Sony World Junction,31137,51.283966,1.5,99.273213,100,0,Clear,No
2022-01-10,Koramangala,Sarjapur Road,60935,20,1.5,100,100,2,Clear,Yes
2022-01-10,M.G. Road,Trinity Circle,39508,20.862855,1.5,100,100,4,Clear,No
2022-01-10,M.G. Road,Anil Kumble Circle,39400,33.475302,1.5,100,100,0,Clear,No
2022-01-10,Jayanagar,Jayanagar 4th Block,28165,59.929995,1.5,100,100,4,Fog,No
2022-01-10,Jayanagar,South End Circle,28609,26.01532,1.5,92.285328,100,2,Clear,No
2022-01-10,Hebbal,Hebbal Flyover,18780,43.130287,1.0103248,55.303326,98.531151,0,Clear,No
2022-01-10,Hebbal,Ballari Road,27100,39.171905,1.5,81.560326,100,1,Clear,No
2022-01-10,Yeshwanthpur,Tumkur Road,16397,54.124352,1.2495583,55.197496,81.245834,0,Overcast,No
2022-01-11,Indiranagar,100 Feet Road,11423,20,1.0076769,33.272931,59.717898,0,Clear,No
2022-01-11,Indiranagar,CMH Road,10806,44.599115,1.1298704,40.767142,53.790181,0,Rain,No
2022-01-11,Whitefield,Marathahalli Bridge,40629,28.942851,1.5,100,100,2,Clear,Yes
2022-01-11,Koramangala,Sony World Junction,14197,57.988113,1.1186142,44.317398,73.731535,1,Clear,Yes
2022-01-11,Electronic City,Hosur Road,13734,60.013337,1.0822749,38.207728,69.82013,1,Windy,No
2022-01-11,M.G. Road,Trinity Circle,48585,38.592094,1.5,100,100,1,Clear,No
2022-01-11,Jayanagar,South End Circle,35331,37.8258,1.5,100,100,4,Clear,No
2022-01-11,Hebbal,Ballari Road,31483,42.236136,1.5,100,100,2,Clear,Yes
2022-01-11,Yeshwanthpur,Yeshwanthpur Circle,24863,40.77188,1.0816143,83.978366,100,1,Clear,No
2022-01-12,Indiranagar,CMH Road,37767,38.387205,1.5,100,100,2,Clear,No
2022-01-12,Whitefield,Marathahalli Bridge,29583,53.866146,1.5,100,100,3,Fog,No
2022-01-12,Whitefield,ITPL Main Road,14566,26.334634,1.0354402,42.965572,73.812253,3,Overcast,No
2022-01-12,Koramangala,Sony World Junction,43533,23.803826,1.5,100,100,0,Clear,No
2022-01-12,Electronic City,Silk Board Junction,19320,20,1.053392,56.01203,98.879393,0,Clear,No
2022-01-12,M.G. Road,Trinity Circle,48094,26.075442,1.5,100,100,1,Clear,Yes
2022-01-12,Jayanagar,Jayanagar 4th Block,21711,34.733593,1.3599333,62.806468,100,1,Windy,No
2022-01-12,Hebbal,Hebbal Flyover,31399,34.643585,1.5,100,100,0,Clear,No
2022-01-12,Yeshwanthpur,Tumkur Road,18517,45.861439,1.1833203,61.417259,89.242745,2,Clear,No
2022-01-13,Indiranagar,100 Feet Road,11371,51.024772,1.1034483,31.19746,55.157151,1,Clear,No
2022-01-13,Indiranagar,CMH Road,11938,37.641416,1.3636881,40.567369,59.668125,0,Clear,No
