Layer Name: Cameras | Endpoint: /cameraMap.json
Layer Name: Congestion | Endpoint: /congestionMap.json
Layer Name: Construction | Endpoint: /constructionMap.json?type=lines
Layer Name: Ferry | Endpoint: /ferryMap.json
Layer Name: Incidents | Endpoint: /incidentMap.json?type=lines
Layer Name: Message Signs | Endpoint: /dmsMap.json
Layer Name: Mile Marker | Endpoint: /milepostsMap.json
Layer Name: Real Time Traffic | Endpoint: /realTimeTrafficMap.json
Layer Name: Sensors | Endpoint: /wssMap.json
Layer Name: Shield | Endpoint: /roadLabels.json
Layer Name: Special Event | Endpoint: /specialEventMap.json?type=lines
Layer Name: Transit Alerts | Endpoint: /transitEventMap.json?agency=ALL&noBus=true&noTrivial=true
Layer Name: Transit Station | Endpoint: /transitStopMap.json
Layer Name: Travel Times | Endpoint: /travelTimeMap.json
Layer Name: Truck Parking | Endpoint: /tpimsMap.json
Layer Name: Weather Warnings | Endpoint: /weatherMap.json
Layer Name: Winter Road Conditions | Endpoint: /winterConditionMap.json
Name: Camera | Endpoint: /cameraReport.json
Name: Cameras | Endpoint: /cameraMap.json
Name: Congestion | Endpoint: /congestion.json
Name: Congestion | Endpoint: /congestionMap.json
Name: Construction | Endpoint: /construction.json
Name: Construction | Endpoint: /constructionMap.json?type=lines
Name: DMS Archive | Endpoint: /dmsArchiveLocations.json
Name: Detectors | Endpoint: /vdsReport.json
Name: Ferry | Endpoint: /ferryMap.json
Name: Incidents | Endpoint: /incidentMap.json?type=lines
Name: Incidents | Endpoint: /incidents.json
Name: Message Signs | Endpoint: /dmsMap.json
Name: Message Signs | Endpoint: /dmsReport.json
Name: Mile Marker | Endpoint: /milepostsMap.json
Name: QuickTraffic | Endpoint: /chicagoQuickTraffic.json
Name: Real Time Traffic | Endpoint: /realTimeTrafficMap.json
Name: Sensors | Endpoint: /wssMap.json
Name: Shield | Endpoint: /roadLabels.json
Name: Special Event | Endpoint: /specialEventMap.json?type=lines
Name: Special Events | Endpoint: /specialEvents.json
Name: Transit Alerts | Endpoint: /transitEventMap.json?agency=ALL&noBus=true&noTrivial=true
Name: Transit Station | Endpoint: /transitStopMap.json
Name: Travel Times | Endpoint: /travelTime.json
Name: Travel Times | Endpoint: /travelTimeMap.json
Name: Truck Parking | Endpoint: /tpimsGpsReport.json
Name: Truck Parking | Endpoint: /tpimsMap.json
Name: Weather Stations | Endpoint: /weatherStationReport.json
Name: Weather Warnings | Endpoint: /weatherMap.json
Name: Winter Road Conditions | Endpoint: /winterConditionMap.json
